Selected historic file: C:/Users/cgallagher/Documents/Doing/local_scoring/AOBSSCCCE/_revision-tracker/AOBSSCCCE_ED_2022-03-24.xlsx
Selected current exam file: C:/Users/cgallagher/Documents/Doing/local_scoring/AOBSSCCCE/_revision-tracker/AOBSSCCCE_ED_current.xlsx

Sequence,Question ID,Latest revision,Written on,Number of options,Stem assets,Stem content,Option A assets,Option A content,Option B assets,Option B content,Option C assets,Option C content,Option D assets,Option D content,Option E assets,Option E content,Correct options,Case ID,Case name,TOTAL_SAME,ItemID,STATUS
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,771184,NO CHANGE DETECTED
1,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,15,771197,
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,771203,NO CHANGE DETECTED
3,True,False,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,14,771231,
4,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,12,771233,
5,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,14,771238,
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,771283,NO CHANGE DETECTED
7,True,False,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,15,771304,
8,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,13,771323,
9,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,13,771324,
10,True,False,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True,14,771329,
11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,771344,NO CHANGE DETECTED
12,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,17,771352,
13,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,771357,NO CHANGE DETECTED
14,True,False,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,15,771358,
15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,771367,NO CHANGE DETECTED
16,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,17,771368,
